action_taken,All,,,,,,action_taken,All
,,,,,,,,
Count of loan_amount,Column Labels,,,,,,Income ($1k),Count of income
Row Labels,Cash-out refinancing,Home improvement,Home purchase,Other purpose,Refinancing,,$80.00,845
"$1,885,000",,,1,,,,$173.00,213
"$925,000",1,,19,,,,$162.00,202
"$2,185,000",,,1,,,,$185.00,200
"$1,315,000",,,2,,,,$200.00,199
"$1,255,000",1,,10,,,,$168.00,199
"$1,325,000",,,4,,,,$171.00,198
"$3,915,000",,,1,,,,$190.00,192
"$1,115,000",,,8,,,,$36.00,177
"$1,025,000",1,,16,,,,$169.00,175
"$1,345,000",,,6,,,,$177.00,173
"$2,055,000",,,1,,,,$181.00,173
"$1,355,000",1,,6,,,,$172.00,167
"$2,255,000",,,1,,,,$176.00,167
"$885,000",2,,31,,,,$174.00,165
"$2,515,000",,,1,,,,$35.00,160
"$1,375,000",1,,7,,,,$184.00,159
"$2,755,000",,,1,,,,$178.00,159
"$1,035,000",,,10,,,,$187.00,158
"$3,005,000",,,2,,,,$34.00,157
"$1,395,000",,,9,,,,$193.00,155
"$1,285,000",,,9,1,,,$191.00,154
"$1,405,000",1,,8,1,,,$186.00,153
"$1,915,000",,,2,,,,$195.00,151
"$1,415,000",,,1,,,,$179.00,148
"$1,965,000",,,3,,,,$32.00,147
"$1,425,000",,,7,,,,$189.00,142
"$1,215,000",1,,2,,,,$183.00,142
"$1,435,000",,,2,,,,$225.00,133
"$1,225,000",,1,7,,,,$182.00,133
"$1,445,000",,1,9,,,,$188.00,133
"$1,055,000",,,15,,,,$33.00,132
"$1,455,000",1,,,,,,$250.00,131
"$2,325,000",,,2,,,,$192.00,130
"$1,145,000",,,8,,,,$194.00,127
"$2,405,000",,1,3,,,,$210.00,122
"$1,475,000",,,1,,,,$209.00,121
"$2,545,000",,,1,,,,$197.00,120
"$1,485,000",,,5,,,,$206.00,120
"$2,705,000",,,1,,,,$204.00,120
"$1,495,000",,,4,,,,$196.00,120
"$2,825,000",1,,,,,,$207.00,119
"$1,075,000",,,8,,,,$205.00,119
"$1,265,000",,,8,2,,,$208.00,117
"$955,000",1,,23,,,,$198.00,115
"$3,415,000",,,1,,,,$31.00,114
"$1,165,000",,,3,,,,$220.00,108
"$4,405,000",,,1,,,,$240.00,107
"$1,545,000",,,1,,,,$215.00,107
"$1,875,000",,,1,,,,$203.00,107
"$1,555,000",,,2,,,,$202.00,105
"$985,000",,,21,,,,$222.00,105
"$1,565,000",,,1,,,,$201.00,104
"$1,195,000",,,7,,,,$218.00,103
"$1,575,000",,,4,,,,$199.00,101
"$1,955,000",,,1,,,,$230.00,101
"$1,585,000",,,1,,,,$217.00,97
"$1,975,000",,,2,,,,$212.00,96
"$735,000",1,,34,1,,,$221.00,95
"$1,995,000",,,3,1,,,$211.00,94
"$1,615,000",,,1,,,,$214.00,93
"$2,045,000",,,1,,,,$29.00,92
"$1,625,000",1,,,1,,,$30.00,90
"$2,105,000",,,2,,,,$213.00,90
"$1,635,000",,,1,,,,$235.00,89
"$2,155,000",,,3,,,,$229.00,88
"$905,000",2,,31,1,,,$300.00,86
"$2,195,000",,,1,,,,$245.00,85
"$1,655,000",,,1,,,,$223.00,85
"$2,215,000",,,2,,,,$216.00,84
"$1,665,000",,,1,,,,$219.00,84
"$2,275,000",,,1,,,,$28.00,83
"$1,675,000",,,2,,,,$236.00,82
"$2,355,000",1,,,,,,$231.00,82
"$1,685,000",,,3,,,,$224.00,80
"$2,375,000",,,1,,,,$228.00,80
"$12,005,000",,,1,,,,$243.00,76
"$2,455,000",,,1,,,,$227.00,76
"$1,715,000",,,4,,,,$27.00,75
"$2,525,000",,,1,,,,$239.00,73
"$1,725,000",,,1,,,,$260.00,73
"$1,245,000",,,8,,,,$232.00,73
"$1,185,000",,,9,,,,$256.00,71
"$2,685,000",,,1,1,,,$234.00,71
"$1,745,000",,,1,1,,,$226.00,69
"$2,745,000",,,1,,,,$233.00,69
"$1,755,000",,,3,,,,$270.00,68
"$2,795,000",,,2,,,,$237.00,68
"$1,765,000",,,4,1,,,$238.00,67
"$2,835,000",,,1,,,,$248.00,66
"$1,785,000",,,1,1,,,$242.00,64
"$2,895,000",,,1,,,,$268.00,64
"$1,795,000",,,2,,,,$275.00,63
"$2,995,000",,,2,,,,$244.00,62
"$1,805,000",,,3,,,,$249.00,61
"$1,275,000",1,,8,,,,$246.00,60
"$1,815,000",,,1,,,,$262.00,60
"$3,495,000",,,1,,,,$255.00,59
"$1,825,000",,,1,1,,,$265.00,59
"$3,955,000",,,1,,,,$253.00,59
"$1,835,000",,,1,,,,$241.00,59
"$5,005,000",,,1,,,,$26.00,58
"$1,845,000",,,3,,,,$261.00,58
"$1,855,000",,,,1,,,$247.00,57
"$1,705,000",,,4,,,,$278.00,54
,,,,,,,$25.00,54
,,,,,,,$280.00,53
,,,,,,,$258.00,53
,,,,,,,$252.00,53
,,,,,,,$22.00,50
,,,,,,,$259.00,50
,,,,,,,$291.00,49
,,,,,,,$263.00,49
,,,,,,,$350.00,48
,,,,,,,$24.00,48
,,,,,,,$271.00,47
,,,,,,,$264.00,47
,,,,,,,$254.00,47
,,,,,,,$266.00,47
,,,,,,,$274.00,46
,,,,,,,$325.00,45
,,,,,,,$315.00,45
,,,,,,,$251.00,45
,,,,,,,$290.00,44
,,,,,,,$269.00,44
,,,,,,,$285.00,44
,,,,,,,$267.00,44
,,,,,,,$282.00,43
,,,,,,,$273.00,43
,,,,,,,$272.00,43
,,,,,,,$0.00,43
,,,,,,,$277.00,42
,,,,,,,$286.00,42
,,,,,,,$257.00,41
,,,,,,,$283.00,40
,,,,,,,$287.00,40
,,,,,,,$276.00,40
,,,,,,,$23.00,40
,,,,,,,$340.00,39
,,,,,,,$281.00,38
,,,,,,,$330.00,38
,,,,,,,$289.00,37
,,,,,,,$279.00,37
,,,,,,,$310.00,35
,,,,,,,$305.00,35
,,,,,,,$298.00,34
,,,,,,,$284.00,34
,,,,,,,$312.00,34
,,,,,,,$327.00,32
,,,,,,,$332.00,32
,,,,,,,$323.00,32
,,,,,,,$288.00,31
,,,,,,,$335.00,31
,,,,,,,$302.00,31
,,,,,,,$322.00,31
,,,,,,,$400.00,31
,,,,,,,$299.00,31
,,,,,,,$360.00,30
,,,,,,,$293.00,30
,,,,,,,$317.00,30
,,,,,,,$311.00,30
,,,,,,,$294.00,29
,,,,,,,$301.00,29
,,,,,,,$321.00,29
,,,,,,,$292.00,28
,,,,,,,$316.00,28
,,,,,,,$318.00,28
,,,,,,,$319.00,27
,,,,,,,$19.00,27
,,,,,,,$295.00,26
,,,,,,,$303.00,25
,,,,,,,$375.00,25
,,,,,,,$344.00,25
,,,,,,,$296.00,24
,,,,,,,$331.00,24
,,,,,,,$320.00,24
,,,,,,,$425.00,23
,,,,,,,$309.00,23
,,,,,,,$297.00,23
,,,,,,,$313.00,22
,,,,,,,$314.00,22
,,,,,,,$326.00,22
,,,,,,,$334.00,22
,,,,,,,$21.00,22
,,,,,,,$367.00,21
,,,,,,,$306.00,21
,,,,,,,$338.00,21
,,,,,,,$336.00,21
,,,,,,,$351.00,21
,,,,,,,$450.00,21
,,,,,,,$348.00,21
,,,,,,,$500.00,20
,,,,,,,$347.00,20
,,,,,,,$337.00,20
,,,,,,,$352.00,20
,,,,,,,$346.00,19
,,,,,,,$341.00,19
,,,,,,,$342.00,19
,,,,,,,$308.00,19
,,,,,,,$329.00,19
,,,,,,,$355.00,19
,,,,,,,$379.00,18
,,,,,,,$339.00,18
,,,,,,,$345.00,18
,,,,,,,$358.00,18
,,,,,,,$385.00,18
,,,,,,,$18.00,18
,,,,,,,$20.00,18
,,,,,,,$17.00,18
,,,,,,,$373.00,17
,,,,,,,$359.00,17
,,,,,,,$390.00,17
,,,,,,,$324.00,17
,,,,,,,$392.00,17
,,,,,,,$372.00,17
,,,,,,,$386.00,17
,,,,,,,$16.00,17
,,,,,,,$550.00,16
,,,,,,,$365.00,16
,,,,,,,$349.00,16
,,,,,,,$15.00,16
,,,,,,,$14.00,16
,,,,,,,$419.00,15
,,,,,,,$371.00,15
,,,,,,,$328.00,15
,,,,,,,$374.00,15
,,,,,,,$394.00,15
,,,,,,,$377.00,15
,,,,,,,$333.00,15
,,,,,,,$354.00,15
,,,,,,,$700.00,14
,,,,,,,$460.00,14
,,,,,,,$376.00,14
,,,,,,,$304.00,14
,,,,,,,$307.00,14
,,,,,,,$474.00,14
,,,,,,,$435.00,13
,,,,,,,$431.00,13
,,,,,,,$383.00,13
,,,,,,,$398.00,13
,,,,,,,$433.00,13
,,,,,,,$343.00,13
,,,,,,,$384.00,13
,,,,,,,$380.00,13
,,,,,,,$368.00,13
,,,,,,,$389.00,12
,,,,,,,$363.00,12
,,,,,,,$440.00,12
,,,,,,,$417.00,12
,,,,,,,$388.00,12
,,,,,,,$382.00,12
,,,,,,,$439.00,12
,,,,,,,$362.00,12
,,,,,,,$357.00,12
,,,,,,,$427.00,12
,,,,,,,$393.00,12
,,,,,,,$364.00,12
,,,,,,,$391.00,12
,,,,,,,$449.00,11
,,,,,,,$396.00,11
,,,,,,,$403.00,11
,,,,,,,$409.00,11
,,,,,,,$445.00,11
,,,,,,,$412.00,11
,,,,,,,$422.00,11
,,,,,,,$369.00,11
,,,,,,,$464.00,11
,,,,,,,$418.00,11
,,,,,,,$430.00,11
,,,,,,,$366.00,11
,,,,,,,$406.00,11
,,,,,,,$547.00,10
,,,,,,,$407.00,10
,,,,,,,$401.00,10
,,,,,,,$414.00,10
,,,,,,,$416.00,10
,,,,,,,$370.00,10
,,,,,,,$395.00,10
,,,,,,,$361.00,10
,,,,,,,$397.00,10
,,,,,,,$480.00,10
,,,,,,,$420.00,10
,,,,,,,$378.00,10
,,,,,,,$434.00,9
,,,,,,,$475.00,9
,,,,,,,$473.00,9
,,,,,,,$399.00,9
,,,,,,,$495.00,9
,,,,,,,$381.00,9
,,,,,,,$423.00,9
,,,,,,,$463.00,9
,,,,,,,$437.00,9
,,,,,,,$583.00,8
,,,,,,,$402.00,8
,,,,,,,$491.00,8
,,,,,,,$356.00,8
,,,,,,,$457.00,8
,,,,,,,$518.00,8
,,,,,,,$404.00,8
,,,,,,,$479.00,8
,,,,,,,$468.00,8
,,,,,,,$490.00,8
,,,,,,,$436.00,8
,,,,,,,$353.00,8
,,,,,,,$387.00,8
,,,,,,,$456.00,8
,,,,,,,$533.00,8
,,,,,,,$466.00,8
,,,,,,,$800.00,7
,,,,,,,$593.00,7
,,,,,,,$650.00,7
,,,,,,,$566.00,7
,,,,,,,$571.00,7
,,,,,,,$586.00,7
,,,,,,,$523.00,7
,,,,,,,$408.00,7
,,,,,,,$444.00,7
,,,,,,,$432.00,7
,,,,,,,$413.00,7
,,,,,,,$410.00,7
,,,,,,,$477.00,7
,,,,,,,$461.00,7
,,,,,,,$492.00,7
,,,,,,,$462.00,7
,,,,,,,$498.00,7
,,,,,,,$421.00,7
,,,,,,,$520.00,7
,,,,,,,$472.00,7
,,,,,,,$525.00,7
,,,,,,,$442.00,7
,,,,,,,$448.00,7
,,,,,,,$708.00,6
,,,,,,,$663.00,6
,,,,,,,$625.00,6
,,,,,,,$578.00,6
,,,,,,,$567.00,6
,,,,,,,$561.00,6
,,,,,,,$511.00,6
,,,,,,,$502.00,6
,,,,,,,$540.00,6
,,,,,,,$543.00,6
,,,,,,,$509.00,6
,,,,,,,$429.00,6
,,,,,,,$441.00,6
,,,,,,,$446.00,6
,,,,,,,$470.00,6
,,,,,,,$483.00,6
,,,,,,,$508.00,6
,,,,,,,$488.00,6
,,,,,,,$510.00,6
,,,,,,,$489.00,6
,,,,,,,$512.00,6
,,,,,,,$467.00,6
,,,,,,,$443.00,6
,,,,,,,$494.00,6
,,,,,,,$542.00,6
,,,,,,,$497.00,6
,,,,,,,$501.00,6
,,,,,,,$12.00,6
,,,,,,,$624.00,5
,,,,,,,$553.00,5
,,,,,,,$551.00,5
,,,,,,,$589.00,5
,,,,,,,$545.00,5
,,,,,,,$590.00,5
,,,,,,,$552.00,5
,,,,,,,$573.00,5
,,,,,,,$657.00,5
,,,,,,,$575.00,5
,,,,,,,$680.00,5
,,,,,,,$570.00,5
,,,,,,,$555.00,5
,,,,,,,$616.00,5
,,,,,,,$780.00,5
,,,,,,,$600.00,5
,,,,,,,$607.00,5
,,,,,,,$597.00,5
,,,,,,,$503.00,5
,,,,,,,$532.00,5
,,,,,,,$438.00,5
,,,,,,,$415.00,5
,,,,,,,$537.00,5
,,,,,,,$496.00,5
,,,,,,,$458.00,5
,,,,,,,$452.00,5
,,,,,,,$528.00,5
,,,,,,,$487.00,5
,,,,,,,$451.00,5
,,,,,,,$516.00,5
,,,,,,,$493.00,5
,,,,,,,$424.00,5
,,,,,,,$447.00,5
,,,,,,,$455.00,5
,,,,,,,$476.00,5
,,,,,,,$13.00,5
,,,,,,,$672.00,4
,,,,,,,$738.00,4
,,,,,,,$559.00,4
,,,,,,,$615.00,4
,,,,,,,$781.00,4
,,,,,,,$577.00,4
,,,,,,,$681.00,4
,,,,,,,$620.00,4
,,,,,,,$704.00,4
,,,,,,,$621.00,4
,,,,,,,$747.00,4
,,,,,,,$564.00,4
,,,,,,,$563.00,4
,,,,,,,$580.00,4
,,,,,,,$558.00,4
,,,,,,,$627.00,4
,,,,,,,$683.00,4
,,,,,,,$850.00,4
,,,,,,,$595.00,4
,,,,,,,$636.00,4
,,,,,,,$811.00,4
,,,,,,,$645.00,4
,,,,,,,$743.00,4
,,,,,,,$565.00,4
,,,,,,,$546.00,4
,,,,,,,$556.00,4
,,,,,,,$602.00,4
,,,,,,,$557.00,4
,,,,,,,$670.00,4
,,,,,,,$630.00,4
,,,,,,,$465.00,4
,,,,,,,$505.00,4
,,,,,,,$519.00,4
,,,,,,,$405.00,4
,,,,,,,$486.00,4
,,,,,,,$428.00,4
,,,,,,,$481.00,4
,,,,,,,$453.00,4
,,,,,,,$521.00,4
,,,,,,,$513.00,4
,,,,,,,$484.00,4
,,,,,,,$514.00,4
,,,,,,,$538.00,4
,,,,,,,$515.00,4
,,,,,,,$471.00,4
,,,,,,,$522.00,4
,,,,,,,$9.00,4
,,,,,,,$11.00,4
,,,,,,,"$1,068.00",3
,,,,,,,$969.00,3
,,,,,,,$945.00,3
,,,,,,,"$1,200.00",3
,,,,,,,$733.00,3
,,,,,,,$649.00,3
,,,,,,,$754.00,3
,,,,,,,$654.00,3
,,,,,,,$723.00,3
,,,,,,,$585.00,3
,,,,,,,$875.00,3
,,,,,,,$658.00,3
,,,,,,,$640.00,3
,,,,,,,$661.00,3
,,,,,,,$717.00,3
,,,,,,,$574.00,3
,,,,,,,$727.00,3
,,,,,,,$665.00,3
,,,,,,,$735.00,3
,,,,,,,$667.00,3
,,,,,,,$581.00,3
,,,,,,,$668.00,3
,,,,,,,$764.00,3
,,,,,,,$588.00,3
,,,,,,,$549.00,3
,,,,,,,$619.00,3
,,,,,,,$825.00,3
,,,,,,,$675.00,3
,,,,,,,$722.00,3
,,,,,,,$569.00,3
,,,,,,,$725.00,3
,,,,,,,$562.00,3
,,,,,,,$728.00,3
,,,,,,,$592.00,3
,,,,,,,$734.00,3
,,,,,,,$688.00,3
,,,,,,,$737.00,3
,,,,,,,$693.00,3
,,,,,,,$633.00,3
,,,,,,,$560.00,3
,,,,,,,$748.00,3
,,,,,,,$626.00,3
,,,,,,,$759.00,3
,,,,,,,$702.00,3
,,,,,,,$768.00,3
,,,,,,,$572.00,3
,,,,,,,$642.00,3
,,,,,,,$707.00,3
,,,,,,,$804.00,3
,,,,,,,$596.00,3
,,,,,,,$815.00,3
,,,,,,,$709.00,3
,,,,,,,$584.00,3
,,,,,,,$714.00,3
,,,,,,,$884.00,3
,,,,,,,$631.00,3
,,,,,,,$694.00,3
,,,,,,,$411.00,3
,,,,,,,$530.00,3
,,,,,,,$529.00,3
,,,,,,,$526.00,3
,,,,,,,$544.00,3
,,,,,,,$527.00,3
,,,,,,,$459.00,3
,,,,,,,$499.00,3
,,,,,,,$485.00,3
,,,,,,,$6.00,3
,,,,,,,-$45.00,3
,,,,,,,"$1,025.00",2
,,,,,,,"$1,104.00",2
,,,,,,,$905.00,2
,,,,,,,$925.00,2
,,,,,,,"$1,899.00",2
,,,,,,,$927.00,2
,,,,,,,"$1,039.00",2
,,,,,,,$931.00,2
,,,,,,,"$1,094.00",2
,,,,,,,$938.00,2
,,,,,,,$910.00,2
,,,,,,,$899.00,2
,,,,,,,"$2,205.00",2
,,,,,,,$964.00,2
,,,,,,,"$1,032.00",2
,,,,,,,$901.00,2
,,,,,,,"$1,066.00",2
,,,,,,,$978.00,2
,,,,,,,"$1,082.00",2
,,,,,,,$986.00,2
,,,,,,,"$1,102.00",2
,,,,,,,"$1,137.00",2
,,,,,,,"$1,132.00",2
,,,,,,,"$1,298.00",2
,,,,,,,"$1,445.00",2
,,,,,,,$988.00,2
,,,,,,,"$1,306.00",2
,,,,,,,$998.00,2
,,,,,,,"$1,604.00",2
,,,,,,,"$1,000.00",2
,,,,,,,"$2,180.00",2
,,,,,,,"$1,007.00",2
,,,,,,,"$1,008.00",2
,,,,,,,"$3,423.00",2
,,,,,,,$881.00,2
,,,,,,,$554.00,2
,,,,,,,$774.00,2
,,,,,,,$671.00,2
,,,,,,,$848.00,2
,,,,,,,$622.00,2
,,,,,,,$613.00,2
,,,,,,,$673.00,2
,,,,,,,$791.00,2
,,,,,,,$678.00,2
,,,,,,,$816.00,2
,,,,,,,$601.00,2
,,,,,,,$863.00,2
,,,,,,,$684.00,2
,,,,,,,$750.00,2
,,,,,,,$591.00,2
,,,,,,,$888.00,2
,,,,,,,$689.00,2
,,,,,,,$659.00,2
,,,,,,,$690.00,2
,,,,,,,$797.00,2
,,,,,,,$629.00,2
,,,,,,,$812.00,2
,,,,,,,$603.00,2
,,,,,,,$664.00,2
,,,,,,,$697.00,2
,,,,,,,$853.00,2
,,,,,,,$604.00,2
,,,,,,,$666.00,2
,,,,,,,$605.00,2
,,,,,,,$652.00,2
,,,,,,,$703.00,2
,,,,,,,$653.00,2
,,,,,,,$634.00,2
,,,,,,,$655.00,2
,,,,,,,$706.00,2
,,,,,,,$770.00,2
,,,,,,,$635.00,2
,,,,,,,$777.00,2
,,,,,,,$637.00,2
,,,,,,,$783.00,2
,,,,,,,$638.00,2
,,,,,,,$792.00,2
,,,,,,,$715.00,2
,,,,,,,$660.00,2
,,,,,,,$719.00,2
,,,,,,,$807.00,2
,,,,,,,$568.00,2
,,,,,,,$617.00,2
,,,,,,,$608.00,2
,,,,,,,$820.00,2
,,,,,,,$726.00,2
,,,,,,,$836.00,2
,,,,,,,$730.00,2
,,,,,,,$618.00,2
,,,,,,,$736.00,2
,,,,,,,$857.00,2
,,,,,,,$610.00,2
,,,,,,,$867.00,2
,,,,,,,$740.00,2
,,,,,,,$879.00,2
,,,,,,,$742.00,2
,,,,,,,$576.00,2
,,,,,,,$651.00,2
,,,,,,,$765.00,2
,,,,,,,$539.00,2
,,,,,,,$535.00,2
,,,,,,,$534.00,2
,,,,,,,$482.00,2
,,,,,,,$504.00,2
,,,,,,,$507.00,2
,,,,,,,$454.00,2
,,,,,,,$478.00,2
,,,,,,,$7.00,2
,,,,,,,$10.00,2
,,,,,,,"$1,451.00",1
,,,,,,,"$2,588.00",1
,,,,,,,"$1,796.00",1
,,,,,,,$975.00,1
,,,,,,,"$1,355.00",1
,,,,,,,$977.00,1
,,,,,,,"$1,574.00",1
,,,,,,,$916.00,1
,,,,,,,"$2,133.00",1
,,,,,,,$979.00,1
,,,,,,,$974.00,1
,,,,,,,$980.00,1
,,,,,,,"$1,412.00",1
,,,,,,,$982.00,1
,,,,,,,"$1,500.00",1
,,,,,,,$983.00,1
,,,,,,,"$1,696.00",1
,,,,,,,$984.00,1
,,,,,,,"$1,954.00",1
,,,,,,,$985.00,1
,,,,,,,"$2,267.00",1
,,,,,,,$919.00,1
,,,,,,,"$2,845.00",1
,,,,,,,$923.00,1
,,,,,,,"$1,329.00",1
,,,,,,,$989.00,1
,,,,,,,"$1,389.00",1
,,,,,,,$991.00,1
,,,,,,,"$1,427.00",1
,,,,,,,$996.00,1
,,,,,,,"$1,471.00",1
,,,,,,,$924.00,1
,,,,,,,"$1,513.00",1
,,,,,,,$900.00,1
,,,,,,,"$1,624.00",1
,,,,,,,"$1,001.00",1
,,,,,,,"$1,756.00",1
,,,,,,,"$1,002.00",1
,,,,,,,"$1,900.00",1
,,,,,,,$895.00,1
,,,,,,,"$2,058.00",1
,,,,,,,$930.00,1
,,,,,,,"$2,185.00",1
