action_taken,All,,,,,,action_taken,All
,,,,,,,,
Count of loan_amount,Column Labels,,,,,,Income ($1k),Count of income
Row Labels,Cash-out refinancing,Home improvement,Home purchase,Other purpose,Refinancing,,$80.00,845
,,,,,,,"$1,038.00",1
,,,,,,,"$1,492.00",1
,,,,,,,$936.00,1
,,,,,,,"$1,504.00",1
,,,,,,,"$1,045.00",1
,,,,,,,"$1,536.00",1
,,,,,,,"$1,047.00",1
,,,,,,,$914.00,1
,,,,,,,"$1,049.00",1
,,,,,,,"$1,663.00",1
,,,,,,,"$1,057.00",1
,,,,,,,"$1,713.00",1
,,,,,,,"$1,060.00",1
,,,,,,,"$1,763.00",1
,,,,,,,"$1,063.00",1
,,,,,,,"$1,868.00",1
,,,,,,,"$1,065.00",1
,,,,,,,"$1,910.00",1
,,,,,,,$937.00,1
,,,,,,,"$2,000.00",1
,,,,,,,"$1,067.00",1
,,,,,,,"$2,094.00",1
,,,,,,,$896.00,1
,,,,,,,$971.00,1
,,,,,,,"$1,070.00",1
,,,,,,,$973.00,1
,,,,,,,"$1,071.00",1
,,,,,,,"$2,322.00",1
,,,,,,,"$1,075.00",1
,,,,,,,"$2,474.00",1
,,,,,,,"$1,079.00",1
,,,,,,,"$2,609.00",1
,,,,,,,"$1,080.00",1
,,,,,,,"$2,829.00",1
,,,,,,,$940.00,1
,,,,,,,"$2,975.00",1
,,,,,,,"$1,083.00",1
,,,,,,,"$3,161.00",1
,,,,,,,"$1,087.00",1
,,,,,,,"$1,313.00",1
,,,,,,,"$1,089.00",1
,,,,,,,"$1,326.00",1
,,,,,,,"$1,090.00",1
,,,,,,,"$1,330.00",1
,,,,,,,$894.00,1
,,,,,,,"$1,350.00",1
,,,,,,,"$1,095.00",1
,,,,,,,"$1,362.00",1
,,,,,,,"$1,098.00",1
,,,,,,,"$1,387.00",1
,,,,,,,"$1,099.00",1
,,,,,,,"$1,400.00",1
,,,,,,,$947.00,1
,,,,,,,"$1,410.00",1
,,,,,,,$948.00,1
,,,,,,,"$1,415.00",1
,,,,,,,"$1,105.00",1
,,,,,,,"$1,423.00",1
,,,,,,,"$1,106.00",1
,,,,,,,"$1,428.00",1
,,,,,,,"$1,122.00",1
,,,,,,,$913.00,1
,,,,,,,"$1,127.00",1
,,,,,,,"$1,463.00",1
,,,,,,,"$1,130.00",1
,,,,,,,"$1,470.00",1
,,,,,,,$949.00,1
,,,,,,,"$1,474.00",1
,,,,,,,"$1,135.00",1
,,,,,,,"$1,496.00",1
,,,,,,,$952.00,1
,,,,,,,"$1,502.00",1
,,,,,,,"$1,139.00",1
,,,,,,,"$1,509.00",1
,,,,,,,"$1,143.00",1
,,,,,,,"$1,523.00",1
,,,,,,,"$1,147.00",1
,,,,,,,"$1,543.00",1
,,,,,,,"$1,153.00",1
,,,,,,,"$1,586.00",1
,,,,,,,"$1,156.00",1
,,,,,,,"$1,615.00",1
,,,,,,,"$1,165.00",1
,,,,,,,"$1,636.00",1
,,,,,,,"$1,176.00",1
,,,,,,,"$1,694.00",1
,,,,,,,"$1,177.00",1
,,,,,,,"$1,708.00",1
,,,,,,,"$1,182.00",1
,,,,,,,"$1,755.00",1
,,,,,,,"$1,184.00",1
,,,,,,,"$1,760.00",1
,,,,,,,"$1,185.00",1
,,,,,,,"$1,785.00",1
,,,,,,,"$1,190.00",1
,,,,,,,"$1,858.00",1
,,,,,,,"$1,193.00",1
,,,,,,,$970.00,1
,,,,,,,"$1,196.00",1
,,,,,,,"$1,908.00",1
,,,,,,,"$1,197.00",1
,,,,,,,"$1,948.00",1
,,,,,,,$954.00,1
,,,,,,,"$1,980.00",1
,,,,,,,"$1,201.00",1
,,,,,,,"$2,029.00",1
,,,,,,,"$3,421.00",1
,,,,,,,"$2,062.00",1
,,,,,,,"$3,428.00",1
,,,,,,,"$2,098.00",1
,,,,,,,"$3,734.00",1
,,,,,,,"$2,154.00",1
,,,,,,,"$3,977.00",1
,,,,,,,"$2,183.00",1
,,,,,,,"$4,488.00",1
,,,,,,,"$2,190.00",1
,,,,,,,"$4,507.00",1
,,,,,,,"$2,208.00",1
,,,,,,,"$4,824.00",1
,,,,,,,"$2,300.00",1
,,,,,,,"$5,320.00",1
,,,,,,,"$2,357.00",1
,,,,,,,"$5,714.00",1
,,,,,,,"$2,418.00",1
,,,,,,,"$6,487.00",1
,,,,,,,"$2,497.00",1
,,,,,,,"$7,303.00",1
,,,,,,,"$2,600.00",1
,,,,,,,"$8,000.00",1
,,,,,,,"$2,665.00",1
,,,,,,,"$10,415.00",1
,,,,,,,"$2,813.00",1
,,,,,,,"$43,517.00",1
,,,,,,,"$2,838.00",1
,,,,,,,"$240,000.00",1
,,,,,,,"$2,942.00",1
,,,,,,,$893.00,1
,,,,,,,"$3,056.00",1
,,,,,,,$956.00,1
,,,,,,,"$3,100.00",1
,,,,,,,"$1,301.00",1
,,,,,,,"$3,215.00",1
,,,,,,,"$1,303.00",1
,,,,,,,$959.00,1
,,,,,,,"$1,207.00",1
,,,,,,,"$3,630.00",1
,,,,,,,"$1,209.00",1
,,,,,,,"$3,874.00",1
,,,,,,,"$1,211.00",1
,,,,,,,"$4,271.00",1
,,,,,,,"$1,220.00",1
,,,,,,,"$4,492.00",1
,,,,,,,"$1,221.00",1
,,,,,,,"$4,515.00",1
,,,,,,,"$1,222.00",1
,,,,,,,"$4,851.00",1
,,,,,,,"$1,225.00",1
,,,,,,,"$5,364.00",1
,,,,,,,"$1,236.00",1
,,,,,,,"$6,155.00",1
,,,,,,,"$1,240.00",1
,,,,,,,"$7,088.00",1
,,,,,,,"$1,244.00",1
,,,,,,,"$7,780.00",1
,,,,,,,"$1,249.00",1
,,,,,,,"$8,900.00",1
,,,,,,,"$1,250.00",1
,,,,,,,"$19,399.00",1
,,,,,,,"$1,259.00",1
,,,,,,,"$80,000.00",1
,,,,,,,"$1,266.00",1
,,,,,,,"$1,651,000.00",1
,,,,,,,"$1,288.00",1
,,,,,,,"$1,296.00",1
,,,,,,,$841.00,1
,,,,,,,$731.00,1
,,,,,,,$871.00,1
,,,,,,,$599.00,1
,,,,,,,$831.00,1
,,,,,,,$751.00,1
,,,,,,,$856.00,1
,,,,,,,$710.00,1
,,,,,,,$883.00,1
,,,,,,,$755.00,1
,,,,,,,$822.00,1
,,,,,,,$756.00,1
,,,,,,,$835.00,1
,,,,,,,$757.00,1
,,,,,,,$648.00,1
,,,,,,,$711.00,1
,,,,,,,$598.00,1
,,,,,,,$760.00,1
,,,,,,,$877.00,1
,,,,,,,$761.00,1
,,,,,,,$749.00,1
,,,,,,,$762.00,1
,,,,,,,$819.00,1
,,,,,,,$548.00,1
,,,,,,,$827.00,1
,,,,,,,$696.00,1
,,,,,,,$833.00,1
,,,,,,,$890.00,1
,,,,,,,$839.00,1
,,,,,,,$767.00,1
,,,,,,,$843.00,1
,,,,,,,$614.00,1
,,,,,,,$677.00,1
,,,,,,,$769.00,1
,,,,,,,$860.00,1
,,,,,,,$716.00,1
,,,,,,,$612.00,1
,,,,,,,$639.00,1
,,,,,,,$874.00,1
,,,,,,,$775.00,1
,,,,,,,$880.00,1
,,,,,,,$776.00,1
,,,,,,,$885.00,1
,,,,,,,$718.00,1
,,,,,,,$674.00,1
,,,,,,,$579.00,1
,,,,,,,$817.00,1
,,,,,,,$682.00,1
,,,,,,,$609.00,1
,,,,,,,$720.00,1
,,,,,,,$646.00,1
,,,,,,,$785.00,1
,,,,,,,$828.00,1
,,,,,,,$786.00,1
,,,,,,,$832.00,1
,,,,,,,$788.00,1
,,,,,,,$834.00,1
,,,,,,,$789.00,1
,,,,,,,$647.00,1
,,,,,,,$790.00,1
,,,,,,,$840.00,1
,,,,,,,$698.00,1
,,,,,,,$842.00,1
,,,,,,,$641.00,1
,,,,,,,$623.00,1
,,,,,,,$796.00,1
,,,,,,,$852.00,1
,,,,,,,$699.00,1
,,,,,,,$855.00,1
,,,,,,,$798.00,1
,,,,,,,$705.00,1
,,,,,,,$669.00,1
,,,,,,,$862.00,1
,,,,,,,$801.00,1
,,,,,,,$864.00,1
,,,,,,,$802.00,1
,,,,,,,$870.00,1
,,,,,,,$643.00,1
,,,,,,,$872.00,1
,,,,,,,$805.00,1
,,,,,,,$745.00,1
,,,,,,,$806.00,1
,,,,,,,$746.00,1
,,,,,,,$644.00,1
,,,,,,,$692.00,1
,,,,,,,$662.00,1
,,,,,,,$606.00,1
,,,,,,,$729.00,1
,,,,,,,$886.00,1
,,,,,,,$813.00,1
,,,,,,,$814.00,1
,,,,,,,$582.00,1
,,,,,,,$766.00,1
,,,,,,,$517.00,1
,,,,,,,$536.00,1
,,,,,,,$524.00,1
,,,,,,,$469.00,1
,,,,,,,$426.00,1
,,,,,,,$506.00,1
,,,,,,,$541.00,1
,,,,,,,$1.00,1
,,,,,,,$2.00,1
,,,,,,,-$4.00,1
,,,,,,,-$285.00,1
,,,,,,,-$30.00,1
,,,,,,,-$1.00,1
,,,,,,,-$17.00,1
,,,,,,,-$48.00,1
,,,,,,,$5.00,1
,,,,,,,-$28.00,1
,,,,,,,-$38.00,1
